chapter	pdf_pages	section	source_kind	material_type	german	normalized_source	decision	existing_deck_ids	existing_source_texts	proposed_target_deck_id	review_flags	source_note
1	17	Zahlen 0–20	Lernwortschatz	word	sechs	sechs	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sieben	sieben	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	acht	acht	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	neun	neun	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zehn	zehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	elf	elf	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwölf	zwölf	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	dreizehn	dreizehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	vierzehn	vierzehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	fünfzehn	fünfzehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sechzehn	sechzehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	siebzehn	siebzehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	achtzehn	achtzehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	neunzehn	neunzehn	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwanzig	zwanzig	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Sprachen	Lernwortschatz	word	Deutsch	deutsch	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Englisch	englisch	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Indonesisch	indonesisch	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Arabisch	arabisch	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Italienisch	italienisch	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Chinesisch	chinesisch	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Türkisch	türkisch	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Hallo!	hallo	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Tag!	gutentag	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Morgen!	gutenmorgen	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Abend!	gutenabend	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Tschüss!	tschüss	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Auf Wiedersehen!	aufwiedersehen	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Gute Nacht!	gutenacht	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Wer bist du?	werbistdu	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Ich bin …	ichbin	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	REPEATED_IN_BOOK|PATTERN_OR_PLACEHOLDER	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Wie heißt du?	wieheißtdu	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Ich heiße …	ichheiße	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wo wohnen Sie?	wowohnensie	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wo wohnst du?	wowohnstdu	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich wohne in …	ichwohnein	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Woher kommen Sie?	woherkommensie	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Woher kommst du?	woherkommstdu	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich komme aus …	ichkommeaus	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Welche Sprachen sprechen Sie?	welchesprachensprechensie	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Welche Sprachen sprichst du?	welchesprachensprichstdu	EXACT_SOURCE_MATCH	de-id-a1-kalimat-nyata	Welche Sprachen sprichst du?	de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich spreche …	ichspreche	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist Ihre Telefonnummer?	wieistihretelefonnummer	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist deine Telefonnummer?	wieistdeinetelefonnummer	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist Ihre E-Mail-Adresse?	wieistihreemailadresse	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist deine E-Mail-Adresse?	wieistdeineemailadresse	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wer ist das?	weristdas	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Das ist …	dasist	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Befinden	Redemittel	sentence	Wie geht es Ihnen?	wiegehtesihnen	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Befinden	Redemittel	sentence	Wie geht's dir?	wiegehtsdir	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Befinden	Redemittel	sentence	Wie geht's?	wiegehts	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Befinden	Redemittel	sentence	Danke, sehr gut.	dankesehrgut	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Befinden	Redemittel	sentence	Danke, gut.	dankegut	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Befinden	Redemittel	sentence	Ganz gut.	ganzgut	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Befinden	Redemittel	sentence	Und Ihnen?	undihnen	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Befinden	Redemittel	sentence	Und dir?	unddir	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
2	38	Aktivitäten	Lernwortschatz	word	aufstehen	aufstehen	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar		
2	38	Aktivitäten	Lernwortschatz	word	duschen	duschen	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar		
2	38	Aktivitäten	Lernwortschatz	word	frühstücken	frühstücken	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	essen	essen	EXACT_SOURCE_MATCH	de-id-a1-kata-inti	essen	de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	trinken	trinken	EXACT_SOURCE_MATCH	de-id-a1-kata-inti	trinken	de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	lernen	lernen	EXACT_SOURCE_MATCH	de-id-a1-kata-inti	lernen	de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	lesen	lesen	EXACT_SOURCE_MATCH	de-id-a1-kata-hobi	lesen	de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	schlafen	schlafen	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar		
2	38	Aktivitäten	Lernwortschatz	word	spielen	spielen	EXACT_SOURCE_MATCH	de-id-a1-kata-hobi	spielen	de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	joggen	joggen	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar		
2	38	Aktivitäten	Lernwortschatz	word	telefonieren	telefonieren	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	besuchen	besuchen	EXACT_SOURCE_MATCH	de-id-a1-kata-hobi	besuchen	de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	einkaufen	einkaufen	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	feiern	feiern	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Aktivitäten	Lernwortschatz	word	arbeiten	arbeiten	EXACT_SOURCE_MATCH	de-id-a1-kata-inti	arbeiten	de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Zeitangaben	Lernwortschatz	word	morgens	morgens	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Zeitangaben	Lernwortschatz	word	abends	abends	ADD_TO_NEW_DECK			de-id-a1-kata-rutinitas-waktu-belajar	REPEATED_IN_BOOK	
2	38	Zeitangaben	Lernwortschatz	phrase	am Montag	ammontag	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Zeitangaben	Lernwortschatz	phrase	am Dienstag	amdienstag	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Zeitangaben	Lernwortschatz	phrase	am Wochenende	amwochenende	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Am Wochenende.	de-id-a1-frasa-rutinitas-janji	REPEATED_IN_BOOK	
2	38	Zeitangaben	Lernwortschatz	phrase	von … bis …	vonbis	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji	REPEATED_IN_BOOK|PATTERN_OR_PLACEHOLDER	
2	38	Zeitangaben	Lernwortschatz	word	heute	heute	EXACT_SOURCE_MATCH	de-id-a1-kata-inti	heute	de-id-a1-kata-rutinitas-waktu-belajar		
2	38	Zeitangaben	Lernwortschatz	word	morgen	morgen	EXACT_SOURCE_MATCH	de-id-a1-kata-inti	morgen	de-id-a1-kata-rutinitas-waktu-belajar		
2	38	Zeitangaben	Lernwortschatz	phrase	jeden Tag	jedentag	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji	REPEATED_IN_BOOK	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Schule	dieschule	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji	REPEATED_IN_BOOK	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	das Buch	dasbuch	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	der Freund / die Freundin	derfreunddiefreundin	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	das Bett	dasbett	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	das Mittagessen / das Abendessen	dasmittagessendasabendessen	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Arbeit	diearbeit	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	der Supermarkt	dersupermarkt	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji	REPEATED_IN_BOOK	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	der Kaffee	derkaffee	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji	REPEATED_IN_BOOK	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Zeit	diezeit	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Musik	diemusik	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich lerne Deutsch.	ichlernedeutsch	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich lese ein Buch.	ichleseeinbuch	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich spiele Fußball.	ichspielefußball	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich schlafe gut.	ichschlafegut	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Am Montag lerne ich.	ammontaglerneich	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Heute lese ich.	heuteleseich	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Morgen treffe ich Freunde.	morgentreffeichfreunde	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich spiele am Nachmittag.	ichspieleamnachmittag	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich schlafe am Abend.	ichschlafeamabend	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Termin vereinbaren	Redemittel	sentence	Gehen wir am …?	gehenwiram	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
2	39	Termin vereinbaren	Redemittel	sentence	Passt das?	passtdas	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
2	39	Termin vereinbaren	Redemittel	sentence	Geht das?	gehtdas	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
2	39	Termin vereinbaren	Redemittel	sentence	Ja, gern!	jagern	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	REPEATED_IN_BOOK	
2	39	Termin vereinbaren	Redemittel	sentence	Super!	super	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Termin vereinbaren	Redemittel	sentence	Nein, das geht leider nicht.	neindasgehtleidernicht	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Meinung und Reaktion	Redemittel	sentence	Das ist interessant.	dasistinteressant	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Meinung und Reaktion	Redemittel	sentence	Das ist langweilig.	dasistlangweilig	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Meinung und Reaktion	Redemittel	sentence	Das macht Spaß!	dasmachtspaß	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Meinung und Reaktion	Redemittel	sentence	Ich weiß nicht.	ichweißnicht	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Meinung und Reaktion	Redemittel	sentence	Ja.	ja	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Meinung und Reaktion	Redemittel	sentence	Nein.	nein	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Meinung und Reaktion	Redemittel	sentence	Doch!	doch	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
2	39	Datum	Redemittel	phrase	der erste	dererste	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
2	39	Datum	Redemittel	phrase	der fünfte	derfünfte	ADD_TO_NEW_DECK			de-id-a1-frasa-rutinitas-janji		
