chapter	pdf_pages	section	source_kind	material_type	german	note
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich spiele Fußball.	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich schlafe gut.	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Am Montag lerne ich.	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Heute lese ich.	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Morgen treffe ich Freunde.	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich spiele am Nachmittag.	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich schlafe am Abend.	
2	39	Termin vereinbaren	Redemittel	sentence	Gehen wir am …?	
2	39	Termin vereinbaren	Redemittel	sentence	Passt das?	
2	39	Termin vereinbaren	Redemittel	sentence	Geht das?	
2	39	Termin vereinbaren	Redemittel	sentence	Ja, gern!	
2	39	Termin vereinbaren	Redemittel	sentence	Super!	
2	39	Termin vereinbaren	Redemittel	sentence	Nein, das geht leider nicht.	
2	39	Meinung und Reaktion	Redemittel	sentence	Das ist interessant.	
2	39	Meinung und Reaktion	Redemittel	sentence	Das ist langweilig.	
2	39	Meinung und Reaktion	Redemittel	sentence	Das macht Spaß!	
2	39	Meinung und Reaktion	Redemittel	sentence	Ich weiß nicht.	
2	39	Meinung und Reaktion	Redemittel	sentence	Ja.	
2	39	Meinung und Reaktion	Redemittel	sentence	Nein.	
2	39	Meinung und Reaktion	Redemittel	sentence	Doch!	
2	39	Datum	Redemittel	phrase	der erste	
2	39	Datum	Redemittel	phrase	der fünfte	
2	39	Datum	Redemittel	phrase	der zwanzigste	
2	39	Datum	Redemittel	sentence	Heute ist der dritte Mai.	
2	39	Datum	Redemittel	sentence	Am dritten Mai lese ich.	
3	61	Zu Hause	Lernwortschatz	phrase	das Haus	
3	61	Zu Hause	Lernwortschatz	phrase	die Wohnung	
3	61	Zu Hause	Lernwortschatz	phrase	das Zimmer	
3	61	Zu Hause	Lernwortschatz	phrase	das Wohnzimmer	
3	61	Zu Hause	Lernwortschatz	phrase	das Schlafzimmer	
3	61	Zu Hause	Lernwortschatz	phrase	das Arbeitszimmer	
3	61	Zu Hause	Lernwortschatz	phrase	die Küche	
3	61	Zu Hause	Lernwortschatz	phrase	das Bad	
3	61	Zu Hause	Lernwortschatz	phrase	der Flur	
3	61	Zu Hause	Lernwortschatz	phrase	der Balkon	
3	61	Zu Hause	Lernwortschatz	phrase	der Garten	
3	61	Zu Hause	Lernwortschatz	phrase	das Dach	
3	61	Zu Hause	Lernwortschatz	phrase	der Keller	
3	61	Möbel und Geräte	Lernwortschatz	phrase	das Sofa	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Tisch	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Schreibtisch	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Stuhl	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Schrank	
3	61	Möbel und Geräte	Lernwortschatz	phrase	das Regal	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Nachttisch	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Spiegel	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Herd	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Kühlschrank	
3	61	Möbel und Geräte	Lernwortschatz	phrase	die Mikrowelle	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Fernseher	
3	61	Möbel und Geräte	Lernwortschatz	phrase	die Lampe	
3	61	Möbel und Geräte	Lernwortschatz	phrase	der Kamin	
3	61	Wohnformen	Lernwortschatz	phrase	das Reihenhaus	
3	61	Wohnformen	Lernwortschatz	phrase	das Bauernhaus	
3	61	Wohnformen	Lernwortschatz	phrase	das Loft	
3	61	Wohnformen	Lernwortschatz	phrase	das Hochhaus	
3	61	Wohnformen	Lernwortschatz	phrase	das Mehrfamilienhaus	
3	61	Wohnformen	Lernwortschatz	phrase	das Studentenwohnheim	
3	61	Präpositionen	Lernwortschatz	word	in	
3	61	Präpositionen	Lernwortschatz	word	auf	
3	61	Präpositionen	Lernwortschatz	word	hinter	
3	61	Präpositionen	Lernwortschatz	word	durch	
3	61	Präpositionen	Lernwortschatz	word	über	
3	61	Umgebung	Lernwortschatz	phrase	der Park	
3	61	Umgebung	Lernwortschatz	phrase	der Spielplatz	
3	61	Umgebung	Lernwortschatz	phrase	die Straße	
3	61	Umgebung	Lernwortschatz	phrase	die Ecke	
3	61	Umgebung	Lernwortschatz	phrase	das Café	
3	61	Umgebung	Lernwortschatz	phrase	der Supermarkt	
3	61	Umgebung	Lernwortschatz	phrase	die Bäckerei	
3	61	Umgebung	Lernwortschatz	phrase	die Post	
3	61	Umgebung	Lernwortschatz	phrase	der Fluss	
3	61	Umgebung	Lernwortschatz	phrase	der Markt	
3	61	Umgebung	Lernwortschatz	phrase	das Gebäude	
3	61	Umgebung	Lernwortschatz	phrase	die Nachbarschaft	
3	61	Umgebung	Lernwortschatz	phrase	das Viertel	
3	61	Sonstige Verben	Lernwortschatz	word	sehen	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	word	lesen	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	word	treffen	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	word	finden	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	word	kennen	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	word	bringen	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	word	sein	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	word	haben	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
3	61	Sonstige Verben	Lernwortschatz	phrase	hängen (Bewegung)	Sumber menulis hängen (Bewegung); bentuk transitif/posisi perlu diverifikasi pada tahap editorial
4	95	Familie	Lernwortschatz	phrase	die Familie	
4	95	Familie	Lernwortschatz	phrase	die Eltern	
4	95	Familie	Lernwortschatz	phrase	der Vater	
4	95	Familie	Lernwortschatz	phrase	die Mutter	
4	95	Familie	Lernwortschatz	phrase	der Sohn	
4	95	Familie	Lernwortschatz	phrase	die Tochter	
4	95	Familie	Lernwortschatz	phrase	der Bruder	
4	95	Familie	Lernwortschatz	phrase	die Schwester	
4	95	Familie	Lernwortschatz	phrase	der Onkel	
4	95	Familie	Lernwortschatz	phrase	die Tante	
4	95	Familie	Lernwortschatz	phrase	der Cousin	
4	95	Familie	Lernwortschatz	phrase	die Cousine	
4	95	Familie	Lernwortschatz	phrase	der Opa	
4	95	Familie	Lernwortschatz	phrase	die Oma	
4	95	Familie	Lernwortschatz	phrase	das Baby	
4	95	Familie	Lernwortschatz	phrase	die Zwillinge	
4	95	Familie	Lernwortschatz	phrase	das Kind	
4	95	Familie	Lernwortschatz	phrase	die Geschwister	
4	95	Aktivitäten	Lernwortschatz	word	spielen	
4	95	Aktivitäten	Lernwortschatz	phrase	Musik hören	
4	95	Aktivitäten	Lernwortschatz	word	tanzen	
4	95	Aktivitäten	Lernwortschatz	word	singen	
4	95	Aktivitäten	Lernwortschatz	phrase	Filme sehen	
4	95	Aktivitäten	Lernwortschatz	phrase	Fotos machen	
4	95	Aktivitäten	Lernwortschatz	word	telefonieren	
4	95	Aktivitäten	Lernwortschatz	phrase	spazieren gehen	
4	95	Aktivitäten	Lernwortschatz	phrase	Picknick machen	
4	95	Aktivitäten	Lernwortschatz	word	wandern	
4	95	Aktivitäten	Lernwortschatz	word	klettern	
4	95	Aktivitäten	Lernwortschatz	word	feiern	
4	95	Aktivitäten	Lernwortschatz	word	kochen	
4	95	Aktivitäten	Lernwortschatz	word	grillen	
4	95	Aktivitäten	Lernwortschatz	phrase	Ski fahren	
4	95	Aktivitäten	Lernwortschatz	phrase	Schlittschuh laufen	
4	95	Aktivitäten	Lernwortschatz	phrase	Fahrrad fahren	
4	95	Aktivitäten	Lernwortschatz	word	helfen	
4	95	Aktivitäten	Lernwortschatz	word	lernen	
4	95	Aktivitäten	Lernwortschatz	word	reisen	
4	95	Aktivitäten	Lernwortschatz	word	essen	
4	95	Aktivitäten	Lernwortschatz	word	treffen	
4	95	Aktivitäten	Lernwortschatz	word	reden	
4	95	Aktivitäten	Lernwortschatz	word	lächeln	
4	95	Aktivitäten	Lernwortschatz	word	posten	
4	95	Aktivitäten	Lernwortschatz	word	besuchen	
4	95	Freunde	Lernwortschatz	phrase	der Freund	
4	95	Freunde	Lernwortschatz	phrase	die Freundin	
4	95	Freunde	Lernwortschatz	phrase	die beste Freundin	
4	95	Freunde	Lernwortschatz	phrase	der beste Freund	
4	95	Freunde	Lernwortschatz	phrase	die Gruppe	
4	95	Freunde	Lernwortschatz	phrase	der Klassenkamerad	
4	95	Freunde	Lernwortschatz	phrase	der Besuch	
4	95	Zeitangaben	Lernwortschatz	phrase	am Wochenende	
4	95	Zeitangaben	Lernwortschatz	phrase	jeden Tag	
4	95	Zeitangaben	Lernwortschatz	word	morgens	
4	95	Zeitangaben	Lernwortschatz	word	mittags	
4	95	Zeitangaben	Lernwortschatz	word	abends	
4	95	Zeitangaben	Lernwortschatz	word	früh	
4	95	Zeitangaben	Lernwortschatz	word	spät	
4	95	Zeitangaben	Lernwortschatz	word	manchmal	
4	95	Zeitangaben	Lernwortschatz	word	oft	
4	95	Zeitangaben	Lernwortschatz	word	immer	
4	95	Trennbare Verben	Lernwortschatz	word	anfangen	
4	95	Trennbare Verben	Lernwortschatz	word	anrufen	
4	95	Trennbare Verben	Lernwortschatz	word	mitmachen	
4	95	Trennbare Verben	Lernwortschatz	word	abholen	
4	95	Trennbare Verben	Lernwortschatz	word	einladen	
4	95	Trennbare Verben	Lernwortschatz	word	mitbringen	
4	95	Trennbare Verben	Lernwortschatz	word	mitkommen	
4	95	Trennbare Verben	Lernwortschatz	word	vorstellen	
4	95	Trennbare Verben	Lernwortschatz	word	einsammeln	
4	95	Trennbare Verben	Lernwortschatz	word	einkaufen	
4	96	Adjektive	Lernwortschatz	word	freundlich	
4	96	Adjektive	Lernwortschatz	word	sportlich	
4	96	Adjektive	Lernwortschatz	word	lustig	
4	96	Adjektive	Lernwortschatz	word	laut	
4	96	Adjektive	Lernwortschatz	word	leise	
4	96	Adjektive	Lernwortschatz	word	cool	
4	96	Adjektive	Lernwortschatz	word	gemütlich	
4	96	Adjektive	Lernwortschatz	word	warm	
4	96	Adjektive	Lernwortschatz	word	kalt	
4	96	Adjektive	Lernwortschatz	word	müde	
4	96	Adjektive	Lernwortschatz	word	glücklich	
4	96	Adjektive	Lernwortschatz	word	schlank	
4	96	Adjektive	Lernwortschatz	word	stark	
4	96	Adjektive	Lernwortschatz	word	süß	
4	96	Adjektive	Lernwortschatz	word	fleißig	
4	96	Adjektive	Lernwortschatz	word	faul	
4	96	Adjektive	Lernwortschatz	word	entspannt	
4	96	Adjektive	Lernwortschatz	word	jung	
4	96	Adjektive	Lernwortschatz	word	neu	
4	97	Familie beschreiben	Redemittel	sentence	In meiner Familie gibt es … Personen.	
4	97	Familie beschreiben	Redemittel	sentence	Ich habe … Geschwister.	
4	97	Familie beschreiben	Redemittel	sentence	Ich habe einen Bruder.	
4	97	Familie beschreiben	Redemittel	sentence	Ich habe eine Schwester.	
4	97	Familie beschreiben	Redemittel	phrase	Mein Vater heißt …	
4	97	Familie beschreiben	Redemittel	phrase	Meine Mutter heißt …	
4	97	Familie beschreiben	Redemittel	phrase	Mein Bruder heißt …	
4	97	Familie beschreiben	Redemittel	phrase	Meine Schwester heißt …	
4	97	Familie beschreiben	Redemittel	sentence	Er ist freundlich.	
4	97	Familie beschreiben	Redemittel	sentence	Sie ist nicht müde.	
4	97	Familie beschreiben	Redemittel	sentence	Er spielt gern …	
4	97	Familie beschreiben	Redemittel	sentence	Sie macht gern …	
4	97	Familie beschreiben	Redemittel	sentence	Wir machen zusammen …	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Beruf, die Berufe	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Chef, die Chefs	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Kunde, die Kunden	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Kollege, die Kollegen	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die Kollegin, die Kolleginnen	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die Autowerkstatt, die Autowerkstätten	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die Arbeit, die Arbeiten	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die Arbeitszeit, die Arbeitszeiten	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die Aufgabe, die Aufgaben	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Bericht, die Berichte	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die Besprechung, die Besprechungen	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	das Büro, die Büros	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Computer, die Computer	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Drucker, die Drucker	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die E-Mail, die E-Mails	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	der Termin, die Termine	
5	116	Berufe und Arbeitsplatz	Lernwortschatz	phrase	die Geschäftsreise	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	arbeiten	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	drucken	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	erledigen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	erklären	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	sagen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	schreiben	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	starten	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	treffen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	vorbereiten	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	ausschalten	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	gefallen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	geben	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	können	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	müssen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	sollen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	anbieten	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	annehmen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	ablehnen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	danken	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	helfen	
5	116	Arbeitstätigkeiten	Lernwortschatz	word	zuhören	
5	116	Arbeit beschreiben	Lernwortschatz	word	anstrengend	
5	116	Arbeit beschreiben	Lernwortschatz	word	flexibel	
5	116	Arbeit beschreiben	Lernwortschatz	word	frei	
5	116	Arbeit beschreiben	Lernwortschatz	word	gut	
5	116	Arbeit beschreiben	Lernwortschatz	word	modern	
5	116	Arbeit beschreiben	Lernwortschatz	word	müde	
5	116	Arbeit beschreiben	Lernwortschatz	word	stressig	
5	116	Arbeit beschreiben	Lernwortschatz	word	zufrieden	
5	116	Arbeit beschreiben	Lernwortschatz	word	pünktlich	
5	116	Arbeit beschreiben	Lernwortschatz	word	draußen	
5	116	Arbeit beschreiben	Lernwortschatz	word	freundlich	
5	116	Arbeit beschreiben	Lernwortschatz	word	streng	
5	116	Arbeit beschreiben	Lernwortschatz	word	unfreundlich	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Was sind Sie von Beruf?	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Was bist du von Beruf?	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Ich arbeite als …	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Ich bin …	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Ich studiere …	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Wie viele Stunden arbeitest du?	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Wann fängt deine Arbeit an?	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Wann hast du frei?	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Wann haben Sie frei?	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Gefällt dir die Arbeit?	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Ich arbeite von … bis … Uhr.	
5	117	Beruf und Arbeitszeit	Redemittel	sentence	Ich habe eine Stunde Mittagspause.	
